Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Default
50,36135,185019,629,110,1,20.85,24,0.88,0
34,138248,103958,525,2,4,6.71,36,0.24,1
42,21668,204640,718,5,4,18.76,36,0.32,1
66,54363,219987,300,9,1,17.39,60,0.22,0
69,146507,240889,759,65,1,7.75,36,0.7,0
27,141144,219945,342,28,4,3.79,12,0.81,0
35,125950,141926,564,59,3,2.91,48,0.26,0
50,147865,17202,514,85,3,2.79,12,0.64,0
66,110903,158060,694,94,4,22.12,60,0.83,0
66,110730,11643,844,66,4,6.17,60,0.68,0
38,24314,197889,310,84,1,6.68,60,0.18,0
51,93850,199760,729,58,2,17.68,12,0.17,0
42,108833,182776,567,6,1,14.55,36,0.84,0
18,116182,12756,304,83,3,21.99,36,0.4,0
47,83930,37358,696,107,1,5.31,12,0.76,0
27,22731,43936,735,3,3,17.98,24,0.25,0
67,101466,185680,481,29,3,4.05,60,0.84,0
61,106054,197706,847,79,1,12.93,36,0.86,0
45,139116,149741,839,73,4,14.61,36,0.29,1
18,91640,135101,686,77,1,2.49,36,0.76,0
37,17583,108832,333,39,2,21.88,24,0.59,0
56,112659,205279,358,43,1,12.25,24,0.43,0
57,118191,11181,653,99,4,22.94,48,0.88,0
31,138710,173032,479,38,2,24.66,60,0.87,0
45,128307,26875,312,101,2,13.07,12,0.84,0
25,145515,114442,831,82,1,10.65,36,0.44,0
65,95515,60481,575,93,2,8.57,48,0.25,0
54,25909,120301,436,50,1,18.79,24,0.3,0
33,29554,90546,345,98,1,22.42,60,0.14,1
21,115013,175570,455,44,2,13.12,12,0.39,0
55,55597,12198,369,72,2,3.16,36,0.42,0
26,112443,178553,709,55,3,21.66,24,0.5,1
19,87750,234793,460,98,3,6.48,24,0.77,1
23,139432,66444,403,70,3,22.92,24,0.78,0
43,106750,142979,494,82,1,15.21,24,0.3,0
21,107232,136885,348,87,3,4.22,48,0.55,0
54,52751,7904,653,101,1,14.09,48,0.82,0
68,148726,221098,808,105,3,9.28,48,0.61,0
37,124186,6523,346,77,3,17.56,36,0.79,0
54,141822,135404,771,3,1,17.91,12,0.43,0
63,87775,25022,739,41,4,15.91,24,0.7,0
26,46533,170652,677,52,2,5.32,36,0.68,0
32,110745,21565,602,20,3,3.72,60,0.51,0
37,37659,67102,550,49,2,2.93,36,0.24,0
33,99100,51182,673,28,3,14.32,48,0.63,0
67,102596,201145,675,83,4,17.27,24,0.64,0
51,25763,184751,655,48,4,10.31,48,0.69,0
33,56454,98286,339,9,1,3.3,12,0.73,0
59,115655,45250,626,115,3,10.98,36,0.4,0
45,34421,211913,735,94,1,6.76,12,0.71,0
24,20496,11700,726,71,3,22.64,36,0.21,1
35,143751,151838,585,63,1,14.68,36,0.55,0
24,63882,104512,370,53,1,24.44,48,0.63,0
37,45879,114946,320,94,3,11.4,12,0.86,0
59,69353,249243,741,86,1,3.62,36,0.49,0
26,138428,202614,605,61,2,4.55,36,0.25,0
63,144012,69689,622,42,1,10.82,60,0.82,0
24,78868,131947,358,95,2,12.82,60,0.2,0
35,20635,164819,352,21,3,24.15,48,0.11,0
53,103440,127439,556,119,3,5.16,60,0.44,0
27,22789,172925,667,7,4,11.02,60,0.5,1
44,26696,15729,670,112,2,5.53,24,0.53,0
44,81099,175155,321,28,3,9.52,60,0.11,0
26,76996,216486,439,15,2,11.47,24,0.46,0
55,90832,63727,767,8,4,4.75,24,0.46,0
54,129065,206760,736,22,4,14.0,36,0.84,0
51,23527,244795,670,17,3,13.14,60,0.89,0
46,68192,246628,681,27,1,22.15,24,0.89,0
25,146199,147457,306,78,1,12.2,60,0.14,0
34,146103,54731,721,77,4,19.41,36,0.77,0
26,78862,224660,446,15,4,18.48,12,0.53,1
52,50544,96150,644,78,3,20.49,36,0.39,0
24,58244,7659,694,87,1,21.06,48,0.73,0
65,108866,169844,468,43,4,19.85,12,0.82,0
62,60720,242953,356,96,2,18.12,36,0.44,0
43,44974,182112,807,96,1,15.36,24,0.17,0
22,89725,205555,451,101,1,6.74,12,0.76,1
34,49691,189959,383,26,3,8.01,24,0.34,0
18,138129,143234,736,113,1,10.76,48,0.16,0
22,76046,221956,392,18,1,22.66,24,0.47,1
63,76765,40142,645,104,1,16.5,60,0.47,0
36,136861,142337,415,50,4,7.42,24,0.15,0
69,74427,227855,668,80,1,4.96,24,0.89,0
64,71240,50364,349,92,1,11.69,36,0.8,0
53,100968,232249,301,38,2,9.4,12,0.59,0
66,71327,116770,328,65,3,7.55,12,0.59,0
29,53060,26552,334,11,2,2.49,24,0.59,0
19,22706,122914,538,67,2,5.09,24,0.47,1
55,20831,131699,441,53,1,9.95,60,0.64,0
65,145589,14595,775,89,1,8.87,60,0.85,0
19,133374,176323,329,21,3,5.42,36,0.25,0
38,44369,177622,471,84,3,21.05,12,0.46,0
65,44842,205542,778,39,1,18.98,12,0.37,0
42,68909,223994,714,10,3,7.74,24,0.73,0
38,55993,234610,623,59,4,24.27,60,0.64,0
29,124733,140231,547,57,3,10.76,60,0.55,0
53,92033,131091,792,33,4,7.9,48,0.54,0
60,111229,246459,838,1,4,2.09,60,0.53,0
35,61560,214144,789,22,3,12.32,48,0.56,0
44,38657,133708,830,18,1,17.46,36,0.27,0
67,105407,209169,456,90,3,11.61,24,0.42,0
61,31142,15311,691,0,3,20.41,48,0.62,1
55,32116,106916,635,50,3,6.84,24,0.63,0
27,102332,222430,669,30,3,7.01,60,0.77,0
47,16317,117650,364,62,4,2.61,24,0.83,0
41,39943,187904,410,35,1,11.41,48,0.45,0
56,69151,113637,432,18,3,13.62,24,0.64,0
32,31290,8170,818,16,3,24.94,48,0.52,0
65,46076,88052,302,35,4,11.27,24,0.24,0
39,119896,131057,462,78,3,6.44,48,0.14,0
35,22769,23963,593,103,3,6.35,36,0.64,0
55,84542,199883,494,74,2,12.44,24,0.67,0
60,96110,23999,320,75,4,23.87,24,0.29,0
62,60695,206991,518,106,3,14.93,48,0.47,0
25,46681,141207,568,86,4,13.3,12,0.24,0
32,91670,217621,755,2,3,4.5,60,0.31,0
62,52384,53174,456,87,2,6.6,48,0.58,0
36,104752,192092,836,84,1,22.35,48,0.22,1
22,95760,12069,348,83,1,4.72,48,0.19,0
44,31252,160243,483,40,3,16.1,60,0.26,0
18,134568,66582,655,38,4,18.11,12,0.26,0
61,39755,123104,804,40,1,11.17,48,0.88,0
47,71405,135432,347,111,2,18.62,60,0.47,0
69,29985,91662,653,74,3,15.91,24,0.75,0
49,133578,60859,715,98,4,15.26,36,0.34,0
68,30511,19308,364,38,3,24.49,36,0.13,0
27,28338,71441,449,41,3,10.35,48,0.32,0
40,15997,209366,702,102,4,24.3,60,0.58,0
21,91517,152002,595,79,2,7.2,12,0.56,1
25,120252,18555,543,79,2,21.33,24,0.8,0
28,77047,68213,728,37,1,13.61,12,0.79,0
53,84410,238154,822,90,4,2.56,12,0.4,0
47,90856,216864,472,46,4,20.96,24,0.19,0
39,55234,181806,566,30,3,23.23,36,0.14,1
53,121085,218040,485,24,2,9.83,12,0.18,0
32,58201,190919,459,56,3,5.6,12,0.79,0
43,58071,100264,399,79,1,2.17,48,0.26,0
23,82529,200531,689,94,1,3.1,24,0.64,0
31,110640,62454,337,56,4,5.83,60,0.27,0
41,114281,121038,840,47,3,17.65,60,0.78,0
38,95178,158257,497,114,2,4.15,36,0.14,0
63,60907,199916,656,20,4,10.82,12,0.47,0
60,74004,217583,513,0,4,23.9,36,0.17,1
62,109876,189219,756,110,4,16.26,36,0.43,0
26,115119,197712,357,90,3,21.85,48,0.5,0
57,44973,240783,558,33,4,10.89,24,0.35,0
50,75835,151221,303,11,3,8.9,12,0.13,0
38,138284,238963,420,4,1,14.26,24,0.44,0
49,87790,191998,422,35,3,16.95,24,0.34,0
50,30702,207681,467,27,3,23.5,36,0.55,0
65,45902,102339,639,112,3,15.29,24,0.13,0
32,143624,18202,528,112,3,10.84,24,0.1,0
64,58773,68761,590,118,4,4.84,12,0.78,0
19,149845,236326,409,85,1,15.19,12,0.62,0
61,82034,18907,592,76,2,10.45,60,0.39,0
41,89917,26343,501,39,3,16.46,60,0.86,0
59,60112,96670,642,33,3,13.74,24,0.25,0
30,38041,213901,641,77,1,10.88,24,0.32,0
48,29189,194776,504,71,3,16.38,12,0.83,1
50,90381,89520,702,30,1,6.7,12,0.5,0
62,130529,164910,362,32,2,7.71,24,0.19,0
68,112668,76450,345,34,2,7.72,36,0.36,0
64,140557,93335,745,93,2,13.94,60,0.56,0
46,47525,159499,326,34,3,5.08,24,0.3,0
47,40895,204226,750,99,4,2.08,60,0.42,0
27,127258,190426,419,0,1,21.43,60,0.25,1
28,116690,33140,813,64,2,12.42,48,0.53,0
37,68867,128118,535,87,1,6.0,24,0.39,0
55,54354,188830,464,26,1,22.38,24,0.74,0
63,39216,178000,707,74,1,12.48,12,0.15,0
32,23530,44457,578,53,2,7.69,60,0.24,0
26,90736,51090,372,27,3,11.18,12,0.8,0
37,104477,133005,440,14,3,9.6,60,0.61,0
57,53658,7916,421,41,4,11.43,12,0.78,0
57,66216,74977,385,82,4,12.72,48,0.79,0
34,117941,103006,796,118,1,11.97,60,0.47,0
50,36360,212402,424,114,2,17.16,60,0.12,0
44,125441,163528,585,33,3,10.14,12,0.59,0
39,52619,128510,374,100,2,6.55,24,0.7,0
42,25190,133353,661,9,4,23.73,24,0.52,1
48,23449,62171,687,0,4,2.3,12,0.76,0
21,138393,89315,736,32,4,21.01,24,0.17,0
65,143401,87273,676,48,2,8.26,24,0.56,0
25,48935,163826,524,45,1,14.33,12,0.57,1
44,38064,232185,778,105,1,10.29,24,0.89,0
31,55486,131348,351,62,4,3.31,60,0.35,0
61,62896,224997,814,91,4,2.42,48,0.64,0
26,90112,220660,364,84,3,10.21,12,0.64,0
63,128944,218992,400,102,3,17.39,12,0.33,0
42,123546,29024,849,23,4,9.56,48,0.13,0
21,18425,116926,627,79,1,6.68,36,0.85,0
24,50051,213492,351,75,3,10.56,36,0.45,0
52,26280,56359,464,46,4,10.74,24,0.83,0
43,83915,154105,439,16,1,16.37,36,0.42,0
27,112189,81214,330,115,1,12.27,36,0.19,0
45,95470,65158,350,95,4,4.51,60,0.33,0
35,58495,190150,415,92,3,20.48,36,0.23,0
55,123201,192577,621,106,4,20.52,36,0.38,0
53,66876,142102,364,6,2,24.09,48,0.54,0
68,135810,189780,396,68,4,21.25,48,0.71,0
35,70732,83794,631,82,1,6.6,48,0.47,1
31,124522,64541,492,62,2,6.23,12,0.57,0
27,44679,104145,353,93,2,18.73,24,0.61,0
51,113452,125914,802,25,4,17.04,60,0.24,0
39,79639,126167,379,43,1,17.74,12,0.35,0
19,50903,176255,784,99,1,9.12,48,0.82,0
46,48645,82670,328,106,2,15.04,60,0.67,0
54,40384,32545,718,13,4,15.16,36,0.64,0
54,63236,59336,841,10,3,22.89,60,0.31,0
26,88011,23704,676,97,4,24.6,48,0.69,1
41,22731,25254,650,16,3,13.91,12,0.36,0
66,136949,78978,649,13,4,9.17,36,0.11,1
43,133158,147793,769,13,4,5.35,48,0.4,0
59,44519,19408,659,93,2,10.31,48,0.29,0
23,30119,182420,308,50,1,5.22,48,0.71,0
28,41314,63177,300,45,2,20.64,36,0.8,0
21,115273,199620,630,51,3,17.43,60,0.2,0
62,101366,158888,801,103,1,17.61,24,0.59,0
22,69461,33183,378,75,2,19.79,12,0.59,0
21,109816,107955,754,100,2,22.65,48,0.34,0
24,33240,52107,680,5,4,9.01,60,0.78,0
38,20694,170014,770,13,3,22.97,60,0.3,0
46,75659,217384,765,115,1,14.63,60,0.35,0
28,125248,151293,647,12,3,9.82,24,0.5,1
42,93064,139635,550,96,4,9.27,12,0.52,0
19,113253,224374,527,88,4,13.35,36,0.77,1
36,71760,165322,828,67,3,11.64,12,0.48,0
20,58819,231541,656,38,2,13.64,48,0.54,0
26,119234,209849,509,81,4,15.24,24,0.61,1
36,21796,23426,510,103,1,5.24,36,0.87,0
61,148584,38178,650,70,4,13.39,48,0.88,0
52,100680,76459,559,79,4,18.72,48,0.82,0
27,24538,36285,683,49,1,23.04,48,0.76,0
37,32730,92558,560,69,4,17.66,12,0.15,1
59,102807,249177,687,83,4,9.92,48,0.82,0
34,141270,69960,501,94,1,18.87,60,0.45,0
62,19568,86149,542,101,4,23.5,12,0.46,0
24,33539,34760,707,50,1,7.48,60,0.86,0
36,77875,83560,700,113,3,18.61,24,0.45,0
54,71039,245222,549,111,1,8.1,36,0.55,0
31,48726,246266,821,12,4,11.18,24,0.44,1
34,132280,150458,725,118,2,22.03,48,0.33,0
46,97918,245507,425,12,1,15.56,36,0.63,0
33,108679,40778,798,8,2,10.61,36,0.84,0
58,44098,9049,379,71,2,20.93,24,0.48,0
62,81126,33870,373,88,1,5.16,36,0.76,0
54,19539,70304,688,26,3,19.33,60,0.27,0
53,29519,55157,774,85,4,17.12,24,0.48,0
35,21783,119215,684,68,1,3.21,36,0.16,0
47,40272,43640,465,40,1,14.44,36,0.48,0
24,40392,55448,510,45,4,22.46,12,0.38,0
39,59797,221215,547,85,1,23.24,48,0.84,0
41,83264,119458,828,71,4,18.75,60,0.9,0
57,15925,23310,408,22,2,21.1,12,0.72,0
59,97809,19000,610,71,4,20.06,12,0.63,0
64,95949,108781,834,44,4,9.05,48,0.84,0
33,83269,44529,607,15,1,22.6,48,0.15,0
30,97847,105098,321,92,4,10.61,60,0.64,0
58,137663,20674,800,24,2,17.02,36,0.59,0
20,44071,142506,708,84,4,6.21,36,0.9,0
65,136639,106475,823,101,3,7.1,36,0.4,0
20,74811,208948,647,42,1,16.8,48,0.18,0
22,118198,35378,345,98,2,23.4,48,0.79,0
49,38762,34108,694,61,3,16.24,36,0.5,0
61,147419,121465,304,79,4,23.45,36,0.33,0
68,142521,158948,333,75,1,3.92,24,0.35,0
49,91666,168575,700,91,4,21.19,48,0.83,0
35,86667,230714,355,99,4,6.49,60,0.21,0
62,83673,248646,814,118,3,17.05,36,0.74,0
33,39516,208130,724,78,1,10.96,60,0.37,0
38,108262,192788,555,107,1,15.79,24,0.25,0
26,113770,10194,654,19,4,14.9,60,0.39,0
49,64599,210538,685,80,1,21.97,36,0.63,0
45,47296,113319,546,23,1,18.25,36,0.18,0
66,148745,206251,454,112,1,2.58,60,0.72,0
38,16617,67746,768,38,2,3.32,24,0.8,0
60,75952,219560,825,46,3,22.4,12,0.14,0
32,96774,172936,345,96,2,6.22,12,0.5,0
19,45078,208868,669,93,1,11.79,24,0.52,0
41,19715,181897,528,6,1,16.84,36,0.61,0
58,93935,60102,842,22,1,2.53,24,0.64,0
68,123314,248043,320,94,3,20.92,12,0.54,0
62,77973,249871,750,66,1,7.61,12,0.11,0
44,93956,119707,816,34,1,9.47,48,0.49,0
49,20376,176638,318,64,2,16.53,36,0.22,1
37,30322,36941,512,45,2,21.43,36,0.73,0
45,45740,65132,469,67,1,14.8,12,0.11,0
50,61717,101131,333,44,2,16.0,24,0.47,0
35,98250,54722,485,41,2,14.94,36,0.65,0
50,107806,213103,701,86,2,5.94,12,0.66,0
46,40536,215651,505,107,4,7.41,48,0.77,0
37,76597,240058,419,39,4,16.41,60,0.65,0
51,18172,52384,756,0,3,14.62,12,0.27,0
35,26353,246924,660,60,4,8.6,36,0.17,1
65,102089,67381,731,109,4,22.25,60,0.5,0
27,130241,222782,687,77,4,16.32,36,0.74,0
57,146415,194185,450,36,1,9.07,36,0.77,0
41,54274,165087,701,79,4,3.6,24,0.21,0
67,41876,8855,362,34,1,5.68,12,0.81,0
40,64509,10371,731,87,3,14.42,36,0.65,0
55,25275,127011,777,16,4,23.97,36,0.84,1
37,127467,81678,585,2,2,22.14,60,0.63,0
69,76892,245353,773,32,3,19.84,36,0.56,0
54,113503,32655,461,71,1,15.14,48,0.12,0
65,103767,83101,403,52,4,6.9,48,0.11,0
23,74561,45838,638,109,3,5.7,48,0.68,0
47,78598,100051,758,98,3,4.17,12,0.12,0
47,74350,212969,737,99,2,4.8,12,0.37,0
40,74225,189992,738,21,1,12.66,12,0.53,0
52,110225,162766,642,81,1,19.43,36,0.66,0
59,76223,217450,388,95,2,6.73,36,0.3,0
57,16568,208596,714,107,3,10.18,36,0.75,0
43,37165,203279,846,98,1,8.88,60,0.61,0
60,18098,91891,430,2,1,17.36,12,0.38,0
57,41632,12014,817,50,2,11.29,24,0.41,0
26,79634,157287,444,0,4,17.92,48,0.67,0
30,109958,140640,659,110,2,16.77,12,0.7,0
23,83496,135017,431,105,4,13.54,60,0.63,0
69,147991,110989,582,86,3,6.21,48,0.79,0
59,27189,91037,350,105,2,15.38,48,0.25,0
65,59302,79806,675,57,1,10.59,12,0.57,0
26,85270,181008,821,87,1,18.27,12,0.42,0
41,70517,192884,469,81,4,24.31,60,0.3,0
57,24705,5660,843,30,2,21.36,24,0.46,0
48,21442,135630,426,63,3,18.68,24,0.28,0
34,119608,181186,410,89,1,17.28,12,0.71,0
68,142278,142449,411,38,2,6.07,60,0.39,0
19,91395,54331,445,96,3,6.81,36,0.69,0
35,88421,185277,474,106,3,7.59,60,0.58,0
48,80460,102657,351,66,1,24.43,48,0.47,0
49,92552,84184,731,20,3,24.41,12,0.66,0
33,135829,29270,649,57,4,21.29,48,0.47,0
43,110988,67336,541,102,4,20.16,48,0.49,0
37,58287,38894,670,72,1,24.41,36,0.62,0
27,64457,170645,303,90,3,23.59,36,0.79,0
24,48014,168426,427,65,2,13.77,12,0.8,0
49,83168,184724,555,79,2,20.14,60,0.79,0
26,32839,147179,655,74,3,12.26,12,0.32,0
61,83954,34904,471,11,4,23.04,36,0.3,1
55,58508,100714,804,62,4,2.37,12,0.37,0
69,104610,181039,322,105,4,4.45,60,0.47,0
25,104242,70235,596,93,1,6.93,48,0.16,0
28,97184,165662,674,115,2,16.13,12,0.39,1
44,45390,192828,753,77,3,3.67,12,0.78,0
60,99987,179173,441,101,1,14.37,12,0.7,0
19,86529,26261,393,25,1,4.61,36,0.48,0
22,28267,210383,318,71,3,16.45,12,0.42,1
35,38453,236128,578,56,4,19.54,48,0.46,0
36,40254,180880,558,91,4,6.38,36,0.6,1
55,76085,172806,658,48,3,18.85,60,0.69,0
56,100066,133564,418,111,1,11.85,36,0.53,0
27,93687,160461,584,85,1,13.3,24,0.38,0
65,133229,31357,667,12,3,2.65,60,0.34,1
36,34797,245673,836,89,2,16.08,48,0.3,0
28,29312,150582,682,70,2,14.07,12,0.61,0
53,86859,153139,817,108,1,22.53,36,0.12,0
55,45828,190306,627,46,4,11.48,36,0.19,0
22,135631,63143,415,55,2,8.84,12,0.65,0
32,95482,124918,601,117,2,18.6,48,0.62,0
24,83970,161385,350,104,3,4.72,36,0.68,0
65,46219,119611,571,56,2,2.46,60,0.57,0
30,88455,169491,840,113,4,19.26,36,0.86,0
69,64311,229773,452,60,2,20.37,36,0.86,0
19,56868,186781,646,43,1,16.72,48,0.14,0
54,106256,197198,396,39,3,24.14,60,0.18,0
43,121756,20892,399,50,4,2.45,12,0.76,0
28,71093,166178,374,89,4,9.72,24,0.72,0
51,134696,195929,412,107,4,19.2,48,0.48,0
24,82461,246220,502,70,3,22.58,60,0.24,0
49,19358,35502,784,82,4,24.63,24,0.43,0
65,56591,127872,607,65,1,3.94,36,0.12,0
60,19886,94890,463,32,1,7.27,60,0.53,0
52,110252,198779,483,54,2,20.55,48,0.29,0
21,94820,162268,548,99,3,21.95,12,0.14,0
30,71298,110452,403,40,3,12.23,60,0.89,1
49,144402,30250,637,88,4,24.42,60,0.61,0
29,42405,30912,316,100,2,2.85,24,0.17,0
22,98823,225659,664,83,1,20.92,12,0.55,0
63,60985,188973,375,110,4,9.09,36,0.35,0
63,49327,11381,460,16,2,4.5,48,0.22,0
29,139682,41790,493,106,4,17.19,36,0.44,0
66,144706,19152,474,107,4,20.61,12,0.11,0
33,141366,127640,626,111,4,5.87,12,0.43,0
67,126979,221200,624,98,3,5.86,48,0.4,0
39,32534,230808,755,44,3,14.61,48,0.65,0
28,22392,194268,773,30,2,18.72,36,0.81,0
40,90072,182357,569,37,3,18.34,12,0.68,0
40,44346,167228,494,25,1,23.27,12,0.38,0
50,143519,62850,699,93,2,23.97,48,0.4,0
28,80896,138779,423,42,4,11.1,60,0.31,1
29,146366,219133,742,113,2,16.05,60,0.79,0
49,143301,48997,522,99,1,15.54,60,0.5,0
22,48581,133884,746,94,1,10.96,24,0.3,0
44,26401,74098,388,116,3,14.13,24,0.31,1
64,108312,156057,840,26,2,10.45,24,0.73,0
49,146564,180935,573,100,2,18.53,24,0.86,0
27,71860,120814,600,57,4,3.4,60,0.52,0
60,128287,12488,400,112,3,16.9,48,0.59,0
35,17621,138840,602,86,4,3.11,36,0.42,0
38,104577,14425,403,85,2,12.99,36,0.64,0
56,44980,41242,582,78,1,24.94,12,0.87,0
46,76477,222740,734,87,4,22.8,60,0.86,0
42,116013,174875,624,84,2,2.34,48,0.63,0
66,101572,161733,387,93,2,3.49,48,0.19,0
22,109433,91502,667,113,2,6.98,60,0.2,0
18,17634,141181,332,44,2,22.48,60,0.47,1
55,69433,129620,680,94,3,20.06,12,0.64,0
61,72111,162188,623,23,4,20.16,12,0.52,0
61,128458,117378,671,24,2,9.78,12,0.28,0
47,37446,40568,759,62,2,3.28,36,0.3,0
56,148176,193849,774,76,1,16.31,48,0.69,0
41,148696,194976,822,87,4,14.78,24,0.65,0
47,33022,120998,778,101,4,23.64,12,0.21,0
37,131173,110262,705,92,1,20.98,24,0.46,0
43,123297,76056,796,55,1,20.54,36,0.64,0
40,61281,245112,724,84,3,5.9,60,0.86,0
25,33172,155793,601,84,2,9.75,48,0.24,0
19,35857,98323,612,14,4,16.39,48,0.86,1
61,24799,6835,564,106,2,3.77,60,0.5,0
43,49443,25202,403,31,2,6.8,60,0.73,0
58,144618,152986,827,115,2,21.25,60,0.44,0
69,27945,159176,533,69,1,4.91,24,0.78,0
23,95305,215094,471,95,2,19.37,24,0.36,1
37,46061,180229,747,78,4,16.69,48,0.63,0
67,37856,213042,594,111,1,23.85,48,0.37,0
50,119814,210619,590,107,4,17.29,48,0.9,0
25,49016,146427,516,72,4,17.19,48,0.21,0
31,24909,196618,504,30,2,14.23,12,0.4,0
61,20901,221793,578,81,2,22.81,24,0.88,0
39,83667,196590,443,8,3,5.72,48,0.68,0
33,122927,115417,607,50,4,21.15,60,0.31,0
26,83102,178298,304,5,1,10.23,48,0.3,1
40,47208,124920,637,105,1,14.59,12,0.21,0
31,62562,31847,573,88,3,21.93,36,0.48,1
21,64439,220144,711,18,1,19.74,60,0.58,0
35,29961,175992,654,86,4,4.64,12,0.35,0
45,82213,85370,670,111,3,24.5,48,0.65,0
67,41016,127036,337,37,3,23.48,60,0.86,0
56,92616,97503,665,84,4,10.03,48,0.41,0
48,61840,68249,317,68,1,19.04,24,0.67,1
44,85563,44164,659,79,4,15.92,60,0.71,0
42,92129,219857,334,10,4,4.07,36,0.2,0
24,74281,181022,589,2,3,3.97,60,0.28,0
50,101393,55269,780,26,2,14.6,60,0.45,0
51,106613,225184,819,78,3,22.34,60,0.73,1
54,61738,238006,311,71,1,5.15,36,0.69,0
36,32527,167406,532,77,2,4.87,24,0.11,1
47,123478,10790,666,52,1,8.35,12,0.81,0
54,122121,80227,402,102,1,14.52,24,0.45,0
56,141321,227320,809,88,3,6.22,48,0.45,0
51,132800,46707,649,54,4,24.32,60,0.17,0
39,87891,208130,655,63,2,11.52,36,0.63,0
33,44425,49283,337,7,2,14.27,48,0.67,0
21,128481,121805,304,59,3,14.09,24,0.69,0
55,51463,122297,314,43,2,6.95,48,0.83,0
66,64265,11704,742,55,3,17.82,48,0.2,0
37,65016,218633,593,8,3,12.02,12,0.73,0
64,72914,125418,471,29,1,11.95,24,0.56,0
51,86412,44311,602,20,2,16.64,48,0.52,0
28,72675,84714,684,108,2,13.5,60,0.58,0
51,65086,208587,602,56,3,9.55,12,0.86,0
68,99876,168791,616,20,3,18.07,60,0.86,0
32,51439,126151,343,40,3,4.34,24,0.69,0
64,36379,95221,430,105,3,24.55,36,0.16,0
48,110522,16309,681,64,3,17.89,12,0.55,0
69,83210,232139,476,39,4,8.12,24,0.56,0
35,53912,201338,508,0,1,16.68,24,0.12,0
57,148112,11202,535,55,4,10.84,36,0.85,0
58,128669,60452,726,69,2,4.13,24,0.57,0
57,66067,211255,606,28,4,17.37,36,0.5,0
53,91251,153999,724,9,4,23.04,12,0.35,0
62,128319,104315,415,105,1,5.21,12,0.3,0
65,108338,74553,360,64,1,15.82,12,0.64,0
44,36407,169243,560,116,4,4.66,36,0.65,0
27,25935,188770,660,105,1,22.7,48,0.88,0
49,27546,108468,540,88,3,19.52,24,0.82,0
68,145522,40221,531,63,2,14.15,24,0.84,0
69,21429,227531,825,1,4,16.2,12,0.21,0
51,20481,231862,674,57,3,12.5,12,0.53,0
65,99497,145268,713,84,4,8.65,36,0.7,0
58,37874,192626,499,60,2,23.4,36,0.31,0
39,97758,246388,453,8,1,15.93,60,0.67,0
44,110858,132372,677,112,2,21.95,24,0.65,0
29,120340,184257,509,4,4,2.45,60,0.41,0
35,114130,106850,348,28,2,20.09,48,0.47,0
39,71805,225569,803,45,2,18.9,60,0.69,0
57,109411,162581,819,70,4,11.63,36,0.6,0
31,19510,21752,356,2,4,15.03,12,0.67,0
